Time resolution is 1 ps
---- EKF SOC Simulation Started ----
Time=105000 | SOC=80.00 | V_est=3.734 | V_meas=3.891 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=115000 | SOC=80.02 | V_est=3.730 | V_meas=3.887 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=125000 | SOC=80.03 | V_est=3.715 | V_meas=3.871 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=135000 | SOC=80.05 | V_est=3.715 | V_meas=3.871 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=145000 | SOC=80.06 | V_est=3.699 | V_meas=3.855 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=155000 | SOC=80.08 | V_est=3.699 | V_meas=3.855 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=165000 | SOC=80.09 | V_est=3.684 | V_meas=3.840 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=175000 | SOC=80.11 | V_est=3.684 | V_meas=3.840 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=185000 | SOC=80.12 | V_est=3.668 | V_meas=3.824 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=195000 | SOC=80.14 | V_est=3.668 | V_meas=3.824 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=205000 | SOC=80.16 | V_est=3.656 | V_meas=3.812 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=215000 | SOC=80.17 | V_est=3.656 | V_meas=3.812 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=225000 | SOC=80.19 | V_est=3.645 | V_meas=3.801 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=235000 | SOC=80.20 | V_est=3.645 | V_meas=3.801 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=245000 | SOC=80.22 | V_est=3.633 | V_meas=3.789 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=255000 | SOC=80.23 | V_est=3.633 | V_meas=3.789 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=265000 | SOC=80.25 | V_est=3.621 | V_meas=3.777 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
Time=275000 | SOC=80.27 | V_est=3.621 | V_meas=3.777 | Innov=0.1562 | K1=0.1250 | dSOC=0.019531
